Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
293	86,8	293	70						
294	86,9	294	70						
295	87	295	70						
296	87	296	69						
297	87	297	70						
298	87,1	298	69						
299	87,3	299	70						
300	87,4	300	71						
301	87,5	301	69						
302	87,5	302	70						
303	87,5	303	70						
304	87,6	304	70						
305	87,8	305	70						
306	87,8	306	71						
307	87,9	307	71						
308	88	308	70						
309	88	309	70						
310	88	310	70						
311	88,1	311	70						
312	88,3	312	70						
313	88,4	313	71						
314	88,5	314	72						
315	88,5	315	71						
316	88,6	316	72						
317	88,6	317	71						
318	88,8	318	71						
319	88,9	319	71						
320	89	320	71						
321	89	321	70						
322	89,1	322	71						
323	89,3	323	71						
324	89,4	324	72						
325	89,5	325	72						
326	89,5	326	72						
327	89,5	327	72						
328	89,6	328	72						
329	89,8	329	72						
330	89,9	330	72						
331	90	331	71						
332	90	332	71						
333	90	333	71						
334	90,1	334	71						
335	90,3	335	72						
336	90,3	336	73						
337	90,4	337	73						
338	90,5	338	72						
339	90,5	339	72						
340	90,5	340	73						
341	90,5	341	74						
342	90,6	342	74						
343	90,6	343	74						
344	90,8	344	74						
345	90,9	345	73						
346	91	346	73						
347	91	347	73						
348	91	348	73						
349	91	349	74						
350	91,1	350	74						
351	91,1	351	75						
352	91,3	352	74						
353	91,4	353	74						
354	91,4	354	74						
355	91,5	355	75						
356	91,5	356	74						
357	91,5	357	74						
358	91,6	358	75						
359	91,6	359	75						
360	91,8	360	75						
361	91,9	361	75						
362	92	362	75						
363	92	363	74						
364	92	364	75						
365	92,1	365	76						
366	92,3	366	76						
367	92,3	367	77						
368	92,4	368	77						
369	92,5	369	76						
370	92,5	370	76						
371	92,5	371	77						
372	92,6	372	76						
373	92,8	373	76						
374	92,8	374	77						
375	92,9	375	77						
376	93	376	77						
377	93	377	76						
378	93	378	76						
379	93,1	379	77						
380	93,1	380	77						
381	93,3	381	77						
382	93,4	382	77						
383	93,4	383	78						
384	93,5	384	78						
385	93,5	385	78						
386	93,5	386	77						
387	93,6	387	77						
388	93,8	388	77						
389	93,8	389	77						
390	93,9	390	77						
391	93,9	391	77						
392	94	392	78						
393	94	393	78						
394	94	394	78						
395	94,1	395	78						
396	94,1	396	79						
397	94,3	397	79						
398	94,4	398	79						
399	94,4	399	79						
400	94,5	400	79						
401	94,5	401	80						
402	94,5	402	80						
403	94,6	403	80						
404	94,6	404	80						
405	94,8	405	81						
406	94,8	406	81						
407	94,9	407	81						
408	94,9	408	80						
409	95	409	79						
410	95	410	79						
411	95	411	80						
412	95	412	80						
413	95,1	413	80						
