Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)			
1230	107	1230	109			
1231	107	1231	110			
1232	107	1232	110			
1233	107,1	1233	110			
1234	107,1	1234	110			
1235	107,3	1235	110			
1236	107,3	1236	110			
1237	107,4	1237	109			
1238	107,4	1238	109			
1239	107,5	1239	110			
1240	107,5	1240	110			
1241	107,5	1241	110			
1242	107,5	1242	110			
1243	107,5	1243	110			
1244	107,5	1244	110			
1245	107,5	1245	110			
1246	107,5	1246	111			
1247	107,5	1247	110			
1248	107,5	1248	110			
1249	107,5	1249	111			
1250	107,5	1250	111			
1251	107,5	1251	111			
1252	107,5	1252	111			
1253	107,5	1253	111			
1254	107,6	1254	111			
1255	107,6	1255	111			
1256	107,6	1256	111			
1257	107,6	1257	112			
1258	107,6	1258	112			
1259	107,8	1259	112			
1260	107,8	1260	113			
1261	107,9	1261	114			
1262	108	1262	114			
1263	108	1263	114			
1264	108	1264	113			
1265	108,1	1265	114			
1266	108,1	1266	115			
1267	108,3	1267	115			
1268	108,4	1268	115			
1269	108,4	1269	115			
1270	108,5	1270	115			
1271	108,5	1271	116			
1272	108,5	1272	116			
1273	108,6	1273	116			
1274	108,6	1274	116			
1275	108,8	1275	117			
1276	108,9	1276	117			
1277	109	1277	116			
1278	109	1278	117			
1279	109	1279	118			
1280	109	1280	118			
1281	109,1	1281	118			
1282	109,3	1282	119			
1283	109,3	1283	120			
1284	109,4	1284	119			
1285	109,4	1285	119			
1286	109,5	1286	119			
1287	109,5	1287	120			
1288	109,5	1288	120			
1289	109,6	1289	120			
1290	109,6	1290	120			
1291	109,8	1291	120			
1292	109,9	1292	120			
1293	109,9	1293	121			
1294	110	1294	121			
1295	110	1295	121			
1296	110	1296	121			
1297	110,1	1297	122			
1298	110,1	1298	122			
1299	110,3	1299	122			
1300	110,3	1300	123			
1301	110,3	1301	123			
1302	110,4	1302	123			
1303	110,4	1303	122			
1304	110,5	1304	122			
1305	110,5	1305	122			
1306	110,5	1306	122			
1307	110,5	1307	122			
1308	110,5	1308	122			
1309	110,6	1309	122			
1310	110,6	1310	122			
1311	110,6	1311	121			
1312	110,6	1312	121			
1313	110,6	1313	121			
1314	110,6	1314	122			
1315	110,6	1315	122			
1316	110,6	1316	123			
1317	110,6	1317	123			
1318	110,6	1318	123			
1319	110,6	1319	124			
1320	110,8	1320	124			
1321	110,8	1321	124			
1322	110,8	1322	124			
1323	110,8	1323	125			
1324	110,8	1324	126			
1325	110,9	1325	126			
1326	110,9	1326	126			
1327	110,9	1327	126			
1328	111	1328	126			
1329	111	1329	126			
1330	111	1330	127			
1331	111	1331	127			
1332	111,1	1332	127			
1333	111,1	1333	127			
1334	111,3	1334	127			
1335	111,3	1335	127			
1336	111,4	1336	128			
1337	111,4	1337	130			
1338	111,5	1338	130			
1339	111,5	1339	129			
1340	111,5	1340	130			
1341	111,5	1341	129			
1342	111,5	1342	129			
1343	111,6	1343	129			
1344	111,8	1344	130			
1345	111,8	1345	131			
1346	111,9	1346	131			
1347	111,9	1347	131			
1348	112	1348	131			
1349	112	1349	132			
1350	112	1350	132			
1351	112	1351	132			
1352	112,1	1352	132			
1353	112,1	1353	133			
1354	112,3	1354	134			
1355	112,3	1355	134			
1356	112,4	1356	134			
1357	112,4	1357	133			
1358	112,4	1358	134			
1359	112,5	1359	135			
1360	112,5	1360	135			
1361	112,5	1361	136			
1362	112,5	1362	135			
1363	112,6	1363	135			
1364	112,6	1364	135			
1365	112,8	1365	136			
1366	112,8	1366	136			
1367	112,9	1367	136			
1368	113	1368	136			
1369	113	1369	136			
1370	113	1370	136			
1371	113	1371	137			
1372	113	1372	136			
1373	113	1373	134			
1374	113	1374	134			
1375	113,1	1375	134			
1376	113,1	1376	134			
1377	113,1	1377	134			
1378	113,1	1378	134			
1379	113,1	1379	134			
1380	113,1	1380	134			
1381	113,1	1381	135			
1382	113,1	1382	135			
1383	113,1	1383	135			
1384	113,1	1384	135			
1385	113,1	1385	135			
1386	113,1	1386	135			
1387	113,1	1387	135			
1388	113,1	1388	135			
1389	113,1	1389	137			
1390	113,1	1390	137			
1391	113,1	1391	137			
1392	113,3	1392	137			
1393	113,3	1393	136			
1394	113,3	1394	136			
1395	113,4	1395	136			
1396	113,4	1396	137			
1397	113,5	1397	137			
1398	113,5	1398	138			
1399	113,5	1399	138			
1400	113,5	1400	139			
1401	113,6	1401	139			
1402	113,6	1402	139			
1403	113,6	1403	139			
1404	113,8	1404	139			
1405	113,8	1405	139			
1406	113,9	1406	140			
1407	113,9	1407	140			
1408	114	1408	140			
1409	114	1409	140			
1410	114	1410	141			
1411	114	1411	141			
1412	114	1412	140			
1413	114	1413	140			
1414	114,1	1414	141			
1415	114,1	1415	141			
1416	114,1	1416	141			
1417	114,3	1417	142			
1418	114,3	1418	142			
1419	114,3	1419	141			
1420	114,4	1420	142			
1421	114,4	1421	143			
1422	114,5	1422	143			
1423	114,5	1423	143			
1424	114,5	1424	142			
1425	114,5	1425	143			
1426	114,5	1426	143			
1427	114,5	1427	144			
1428	114,6	1428	143			
1429	114,6	1429	144			
1430	114,8	1430	144			
1431	114,8	1431	143			
1432	114,8	1432	143			
1433	114,9	1433	144			
1434	114,9	1434	144			
1435	114,9	1435	144			
1436	114,9	1436	143			
1437	114,9	1437	143			
1438	114,9	1438	143			
1439	114,9	1439	143			
1440	114,9	1440	142			
1441	114,9	1441	142			
1442	114,9	1442	140			
1443	114,9	1443	139			
1444	114,9	1444	138			
1445	114,9	1445	139			
1446	114,8	1446	140			
1447	114,8	1447	141			
1448	114,8	1448	143			
1449	114,8	1449	143			
1450	114,8	1450	142			
1451	114,8	1451	141			
1452	114,8	1452	141			
1453	114,6	1453	141			
1454	114,6	1454	141			
1455	114,8	1455	141			
1456	114,8	1456	142			
1457	114,8	1457	142			
1458	114,8	1458	142			
1459	114,8	1459	143			
1460	114,8	1460	144			
1461	114,9	1461	144			
1462	114,9	1462	144			
1463	115	1463	144			
1464	115	1464	145			
1465	115	1465	144			
1466	115	1466	144			
1467	115	1467	144			
1468	115	1468	144			
1469	115	1469	145			
1470	115,1	1470	145			
1471	115,1	1471	145			
1472	115,1	1472	144			
1473	115,3	1473	145			
1474	115,3	1474	146			
1475	115,4	1475	146			
1476	115,4	1476	146			
1477	115,4	1477	146			
1478	115,5	1478	146			
1479	115,5	1479	147			
1480	115,5	1480	148			
1481	115,5	1481	147			
1482	115,5	1482	146			
1483	115,5	1483	146			
1484	115,6	1484	146			
1485	115,6	1485	147			
1486	115,6	1486	147			
1487	115,8	1487	148			
1488	115,8	1488	148			
1489	115,8	1489	148			
1490	115,8	1490	148			
1491	115,9	1491	148			
1492	115,9	1492	147			
1493	115,9	1493	147			
1494	115,9	1494	148			
1495	116	1495	148			
1496	115,9	1496	148			
1497	116	1497	148			
1498	116	1498	149			
1499	116	1499	150			
1500	116	1500	150			
1501	116	1501	148			
1502	116	1502	146			
1503	116	1503	145			
1504	116	1504	145			
1505	116	1505	145			
1506	116	1506	146			
1507	116	1507	147			
1508	116	1508	146			
1509	115,9	1509	145			
1510	115,9	1510	145			
1511	115,9	1511	143			
1512	115,9	1512	143			
1513	115,8	1513	144			
1514	115,8	1514	144			
1515	115,8	1515	144			
1516	115,6	1516	144			
1517	115,6	1517	145			
1518	115,6	1518	146			
1519	115,6	1519	147			
1520	115,5	1520	147			
1521	115,5	1521	147			
1522	115,5	1522	147			
1523	115,5	1523	147			
1524	115,5	1524	146			
1525	115,6	1525	145			
1526	115,6	1526	146			
1527	115,6	1527	148			
1528	115,6	1528	148			
1529	115,8	1529	147			
1530	115,8	1530	148			
1531	115,8	1531	148			
1532	115,9	1532	148			
1533	115,9	1533	147			
1534	115,9	1534	148			
1535	115,9	1535	148			
1536	115,9	1536	149			
1537	115,9	1537	149			
1538	116	1538	150			
1539	116	1539	150			
1540	116	1540	151			
1541	116	1541	150			
1542	116	1542	149			
1543	116,1	1543	148			
1544	116,1	1544	148			
1545	116,1	1545	149			
1546	116,1	1546	150			
1547	116,1	1547	151			
1548	116,1	1548	151			
1549	116,3	1549	151			
1550	116,3	1550	152			
1551	116,3	1551	151			
1552	116,4	1552	151			
1553	116,4	1553	150			
1554	116,4	1554	150			
1555	116,4	1555	150			
1556	116,4	1556	152			
1557	116,5	1557	150			
1558	116,5	1558	151			
1559	116,5	1559	152			
1560	116,5	1560	152			
1561	116,5	1561	152			
1562	116,5	1562	151			
1563	116,6	1563	150			
1564	116,6	1564	151			
1565	116,6	1565	152			
1566	116,8	1566	152			
1567	116,8	1567	152			
1568	116,8	1568	152			
1569	116,9	1569	152			
1570	116,9	1570	152			
1571	116,9	1571	150			
1572	116,9	1572	149			
1573	116,8	1573	147			
1574	116,8	1574	146			
1575	116,8	1575	147			
1576	116,6	1576	148			
1577	116,6	1577	149			
1578	116,5	1578	148			
1579	116,5	1579	150			
1580	116,5	1580	150			
1581	116,5	1581	149			
1582	116,5	1582	149			
1583	116,5	1583	148			
1584	116,4	1584	148			
1585	116,4	1585	150			
1586	116,4	1586	150			
1587	116,4	1587	150			
1588	116,4	1588	150			
1589	116,4	1589	151			
1590	116,4	1590	152			
1591	116,4	1591	152			
1592	116,4	1592	152			
1593	116,5	1593	152			
1594	116,5	1594	151			
1595	116,5	1595	151			
1596	116,5	1596	152			
1597	116,5	1597	152			
1598	116,5	1598	153			
1599	116,6	1599	153			
1600	116,6	1600	154			
1601	116,8	1601	153			
1602	116,8	1602	153			
1603	116,8	1603	152			
1604	116,8	1604	152			
1605	116,9	1605	152			
1606	116,9	1606	153			
1607	116,9	1607	153			
1608	117	1608	153			
1609	117	1609	154			
1610	117	1610	155			
1611	117	1611	155			
1612	117	1612	155			
1613	117,1	1613	154			
1614	117,1	1614	154			
1615	117,1	1615	155			
1616	117,3	1616	155			
1617	117,3	1617	157			
1618	117,3	1618	157			
1619	117,3	1619	156			
1620	117,4	1620	157			
1621	117,4	1621	156			
1622	117,5	1622	157			
1623	117,5	1623	157			
1624	117,5	1624	156			
1625	117,5	1625	156			
1626	117,5	1626	157			
1627	117,5	1627	158			
1628	117,5	1628	158			
1629	117,5	1629	158			
1630	117,5	1630	158			
1631	117,6	1631	158			
1632	117,6	1632	158			
1633	117,6	1633	157			
1634	117,8	1634	156			
1635	117,8	1635	155			
1636	117,8	1636	155			
1637	117,8	1637	155			
1638	117,8	1638	154			
1639	117,8	1639	155			
1640	117,8	1640	155			
1641	117,6	1641	153			
1642	117,6	1642	152			
1643	117,6	1643	151			
1644	117,5	1644	151			
1645	117,5	1645	152			
1646	117,5	1646	154			
1647	117,5	1647	155			
1648	117,4	1648	155			
1649	117,4	1649	155			
1650	117,4	1650	154			
1651	117,4	1651	155			
1652	117,3	1652	154			
1653	117,3	1653	155			
1654	117,3	1654	155			
1655	117,3	1655	155			
1656	117,3	1656	155			
1657	117,3	1657	155			
1658	117,3	1658	156			
1659	117,4	1659	157			
1660	117,4	1660	158			
1661	117,5	1661	158			
1662	117,5	1662	157			
1663	117,5	1663	157			
1664	117,5	1664	157			
1665	117,6	1665	157			
1666	117,6	1666	157			
1667	117,6	1667	157			
1668	117,8	1668	157			
1669	117,8	1669	159			
1670	117,8	1670	159			
1671	117,9	1671	159			
1672	117,9	1672	158			
1673	117,9	1673	158			
1674	118	1674	158			
1675	118	1675	159			
1676	118	1676	159			
1677	118	1677	160			
1678	118	1678	161			
1679	118	1679	161			
1680	118,1	1680	160			
1681	118,1	1681	160			
1682	118,1	1682	160			
1683	118,1	1683	159			
1684	118,3	1684	159			
1685	118,3	1685	160			
1686	118,3	1686	161			
1687	118,4	1687	161			
1688	118,4	1688	161			
1689	118,4	1689	161			
1690	118,5	1690	161			
1691	118,5	1691	162			
1692	118,5	1692	163			
1693	118,5	1693	162			
1694	118,5	1694	162			
1695	118,5	1695	162			
1696	118,5	1696	162			
1697	118,6	1697	163			
1698	118,6	1698	163			
1699	118,6	1699	164			
1700	118,8	1700	163			
1701	118,8	1701	161			
1702	118,8	1702	159			
1703	118,8	1703	159			
1704	118,6	1704	158			
1705	118,6	1705	157			
1706	118,5	1706	157			
1707	118,5	1707	158			
1708	118,5	1708	158			
1709	118,5	1709	157			
1710	118,5	1710	156			
1711	118,4	1711	157			
1712	118,4	1712	158			
1713	118,4	1713	158			
1714	118,3	1714	158			
1715	118,3	1715	157			
1716	118,1	1716	157			
1717	118,1	1717	158			
1718	118,1	1718	159			
1719	118	1719	159			
1720	118,1	1720	160			
1721	118,1	1721	161			
1722	118,1	1722	161			
1723	118,1	1723	160			
1724	118,3	1724	160			
1725	118,3	1725	161			
1726	118,3	1726	162			
1727	118,4	1727	161			
1728	118,4	1728	161			
1729	118,5	1729	162			
1730	118,5	1730	163			
1731	118,5	1731	163			
1732	118,5	1732	163			
1733	118,6	1733	162			
1734	118,6	1734	162			
1735	118,6	1735	163			
1736	118,8	1736	163			
1737	118,8	1737	163			
1738	118,9	1738	163			
1739	118,9	1739	164			
1740	118,9	1740	164			
1741	119	1741	164			
1742	119	1742	163			
1743	119	1743	164			
1744	119	1744	164			
1745	119	1745	165			
1746	119	1746	165			
1747	119	1747	165			
1748	119	1748	166			
1749	119,1	1749	167			
1750	119,1	1750	167			
1751	119,1	1751	166			
1752	119,3	1752	165			
1753	119,3	1753	166			
1754	119,3	1754	165			
1755	119,3	1755	166			
1756	119,4	1756	166			
1757	119,4	1757	166			
1758	119,4	1758	166			
1759	119,4	1759	167			
1760	119,5	1760	167			
1761	119,5	1761	167			
1762	119,5	1762	167			
1763	119,5	1763	166			
1764	119,5	1764	166			
1765	119,5	1765	167			
1766	119,5	1766	167			
1767	119,5	1767	165			
1768	119,5	1768	165			
1769	119,5	1769	166			
1770	119,5	1770	165			
1771	119,5	1771	164			
1772	119,5	1772	163			
1773	119,5	1773	163			
1774	119,5	1774	162			
1775	119,5	1775	161			
1776	119,4	1776	161			
1777	119,4	1777	161			
1778	119,3	1778	162			
1779	119,3	1779	163			
1780	119,3	1780	162			
1781	119,1	1781	163			
1782	119,1	1782	163			
1783	119,1	1783	163			
1784	119,1	1784	163			
1785	119,1	1785	163			
1786	119,1	1786	164			
1787	119,1	1787	165			
1788	119,1	1788	166			
1789	119,1	1789	166			
1790	119,1	1790	166			
1791	119,3	1791	167			
1792	119,3	1792	166			
1793	119,4	1793	166			
1794	119,4	1794	165			
1795	119,5	1795	166			
1796	119,5	1796	166			
1797	119,5	1797	166			
1798	119,5	1798	167			
1799	119,5	1799	168			
1800	119,6	1800	168			
1801	119,6	1801	168			
1802	119,6	1802	167			
1803	119,8	1803	167			
1804	119,8	1804	167			
1805	119,8	1805	167			
1806	119,9	1806	168			
1807	119,9	1807	169			
1808	119,9	1808	170			
1809	119,9	1809	170			
1810	120	1810	170			
1811	120	1811	169			
1812	120	1812	170			
1813	120	1813	169			
1814	120	1814	168			
1815	120	1815	169			
1816	120	1816	169			
1817	120	1817	169			
1818	120	1818	170			
1819	120,1	1819	171			
1820	120,1	1820	171			
1821	120,1	1821	171			
1822	120,1	1822	171			
1823	120,3	1823	170			
1824	120,3	1824	170			
1825	120,3	1825	170			
1826	120,3	1826	170			
1827	120,3	1827	171			
1828	120,4	1828	171			
1829	120,4	1829	171			
1830	120,4	1830	171			
1831	120,4	1831	172			
1832	120,4	1832	172			
1833	120,4	1833	169			
1834	120,4	1834	168			
1835	120,3	1835	167			
1836	120,3	1836	166			
1837	120,3	1837	167			
1838	120,3	1838	167			
1839	120,1	1839	167			
1840	120,1	1840	166			
1841	120,1	1841	165			
1842	120	1842	165			
1843	120	1843	164			
1844	120	1844	165			
1845	119,9	1845	165			
1846	119,9	1846	165			
1847	119,8	1847	167			
1848	119,8	1848	167			
1849	119,8	1849	167			
1850	119,8	1850	168			
1851	119,8	1851	169			
1852	119,8	1852	169			
1853	119,8	1853	167			
1854	119,8	1854	167			
1855	119,8	1855	168			
1856	119,8	1856	168			
1857	119,8	1857	169			
1858	119,9	1858	169			
1859	119,9	1859	170			
1860	120	1860	170			
1861	120	1861	171			
1862	120	1862	171			
1863	120	1863	171			
1864	120	1864	170			
1865	120,1	1865	170			
1866	120,1	1866	171			
1867	120,1	1867	172			
1868	120,3	1868	172			
1869	120,3	1869	173			
1870	120,4	1870	173			
1871	120,4	1871	173			
1872	120,4	1872	174			
1873	120,5	1873	172			
1874	120,5	1874	171			
1875	120,5	1875	172			
1876	120,5	1876	172			
1877	120,5	1877	173			
1878	120,5	1878	174			
1879	120,5	1879	174			
1880	120,6	1880	174			
1881	120,6	1881	173			
1882	120,6	1882	173			
1883	120,8	1883	173			
1884	120,8	1884	173			
1885	120,8	1885	173			
1886	120,8	1886	174			
1887	120,8	1887	174			
1888	120,8	1888	174			
1889	120,8	1889	174			
1890	120,9	1890	175			
1891	120,9	1891	175			
1892	120,9	1892	174			
1893	120,9	1893	173			
1894	120,9	1894	172			
1895	121	1895	171			
1896	121	1896	173			
1897	121	1897	174			
1898	121	1898	175			
1899	121	1899	175			
1900	121	1900	175			
1901	121	1901	174			
1902	121	1902	174			
1903	121	1903	173			
1904	121	1904	173			
1905	121	1905	174			
1906	121	1906	175			
1907	121	1907	176			
1908	121	1908	177			
1909	121,1	1909	176			
1910	121,1	1910	175			
1911	121,1	1911	176			
1912	121,1	1912	176			
1913	121,1	1913	174			
1914	121,1	1914	174			
1915	121,1	1915	175			
1916	121,1	1916	175			
1917	121,1	1917	175			
1918	121,1	1918	175			
1919	121,1	1919	175			
1920	121,3	1920	175			
1921	121,3	1921	174			
1922	121,3	1922	175			
1923	121,3	1923	174			
1924	121,3	1924	175			
1925	121,3	1925	174			
1926	121,3	1926	175			
1927	121,3	1927	176			
1928	121,3	1928	176			
1929	121,3	1929	176			
1930	121,3	1930	177			
1931	121,3	1931	175			
1932	121,3	1932	174			
1933	121,3	1933	175			
1934	121,3	1934	175			
1935	121,3	1935	175			
1936	121,3	1936	176			
1937	121,3	1937	177			
1938	121,3	1938	176			
1939	121,3	1939	176			
1940	121,3	1940	175			
1941	121,3	1941	175			
1942	121,3	1942	176			
1943	121,3	1943	177			
1944	121,3	1944	176			
1945	121,3	1945	175			
1946	121,3	1946	177			
1947	121,3	1947	177			
1948	121,3	1948	177			
1949	121,3	1949	176			
1950	121,3	1950	176			
1951	121,3	1951	176			
1952	121,4	1952	175			
1953	121,4	1953	174			
1954	121,3	1954	174			
1955	121,3	1955	175			
1956	121,3	1956	175			
1957	121,3	1957	176			
1958	121,4	1958	176			
1959	121,3	1959	176			
1960	121,3	1960	176			
1961	121,4	1961	176			
1962	121,4	1962	176			
1963	121,4	1963	175			
1964	121,4	1964	175			
1965	121,4	1965	176			
1966	121,4	1966	176			
1967	121,3	1967	176			
1968	121,3	1968	177			
1969	121,3	1969	177			
1970	121,3	1970	177			
1971	121,3	1971	178			
1972	121,4	1972	177			
1973	121,4	1973	175			
1974	121,4	1974	175			
1975	121,4	1975	175			
1976	121,3	1976	177			
1977	121,4	1977	177			
1978	121,4	1978	178			
1979	121,4	1979	177			
1980	121,4	1980	176			
1981	121,4	1981	176			
1982	121,4	1982	176			
1983	121,4	1983	175			
1984	121,4	1984	175			
1985	121,4	1985	174			
1986	121,4	1986	176			
1987	121,4	1987	177			
1988	121,5	1988	177			
1989	121,5	1989	177			
1990	121,5	1990	176			
1991	121,5	1991	177			
1992	121,5	1992	177			
1993	121,5	1993	177			
1994	121,5	1994	175			
1995	121,5	1995	175			
1996	121,5	1996	176			
1997	121,5	1997	176			
1998	121,5	1998	177			
1999	121,5	1999	176			
2000	121,5	2000	175			
2001	121,5	2001	176			
2002	121,5	2002	175			
2003	121,5	2003	176			
2004	121,5	2004	176			
2005	121,5	2005	176			
2006	121,5	2006	177			
2007	121,5	2007	177			
2008	121,5	2008	178			
2009	121,5	2009	177			
2010	121,5	2010	177			
2011	121,5	2011	176			
2012	121,4	2012	176			
2013	121,4	2013	176			
2014	121,4	2014	176			
2015	121,4	2015	176			
2016	121,4	2016	176			
2017	121,4	2017	178			
2018	121,4	2018	177			
2019	121,4	2019	177			
2020	121,4	2020	176			
2021	121,4	2021	176			
2022	121,4	2022	176			
2023	121,4	2023	176			
2024	121,4	2024	176			
2025	121,4	2025	176			
2026	121,4	2026	178			
2027	121,4	2027	177			
2028	121,4	2028	176			
2029	121,4	2029	176			
2030	121,4	2030	176			
2031	121,4	2031	176			
2032	121,4	2032	176			
2033	121,4	2033	176			
2034	121,4	2034	176			
2035	121,4	2035	176			
2036	121,5	2036	177			
2037	121,4	2037	177			
2038	121,5	2038	177			
2039	121,5	2039	177			
2040	121,5	2040	177			
2041	121,5	2041	178			
2042	121,5	2042	177			
2043	121,5	2043	176			
2044	121,5	2044	176			
2045	121,5	2045	176			
2046	121,5	2046	177			
2047	121,5	2047	178			
2048	121,5	2048	177			
2049	121,5	2049	177			
2050	121,5	2050	177			
2051	121,5	2051	177			
2052	121,5	2052	177			
2053	121,5	2053	177			
2054	121,5	2054	176			
2055	121,5	2055	176			
2056	121,5	2056	176			
2057	121,5	2057	177			
2058	121,5	2058	177			
2059	121,5	2059	177			
2060	121,5	2060	177			
2061	121,5	2061	177			
2062	121,5	2062	178			
2063	121,5	2063	178			
2064	121,5	2064	176			
2065	121,5	2065	176			
2066	121,5	2066	178			
2067	121,5	2067	178			
2068	121,5	2068	178			
2069	121,5	2069	178			
2070	121,5	2070	178			
2071	121,5	2071	177			
2072	121,5	2072	176			
2073	121,5	2073	176			
2074	121,5	2074	176			
2075	121,5	2075	176			
2076	121,5	2076	178			
2077	121,5	2077	178			
2078	121,5	2078	176			
2079	121,5	2079	177			
2080	121,5	2080	176			
2081	121,5	2081	177			
2082	121,5	2082	177			
2083	121,5	2083	176			
2084	121,5	2084	176			
2085	121,5	2085	176			
2086	121,5	2086	177			
2087	121,5	2087	177			
2088	121,5	2088	178			
2089	121,5	2089	178			
2090	121,5	2090	177			
2091	121,5	2091	176			
2092	121,5	2092	177			
2093	121,5	2093	177			
2094	121,5	2094	176			
2095	121,5	2095	176			
2096	121,5	2096	176			
2097	121,5	2097	177			
2098	121,5	2098	178			
2099	121,5	2099	177			
2100	121,5	2100	177			
2101	121,5	2101	177			
2102	121,5	2102	177			
2103	121,5	2103	176			
2104	121,5	2104	176			
2105	121,5	2105	177			
2106	121,5	2106	177			
2107	121,5	2107	177			
2108	121,5	2108	177			
2109	121,5	2109	176			
2110	121,5	2110	176			
2111	121,5	2111	177			
2112	121,5	2112	176			
2113	121,5	2113	177			
2114	121,5	2114	177			
2115	121,5	2115	177			
2116	121,5	2116	177			
2117	121,5	2117	177			
2118	121,5	2118	176			
2119	121,5	2119	177			
2120	121,5	2120	177			
2121	121,5	2121	176			
2122	121,5	2122	177			
2123	121,5	2123	177			
2124	121,5	2124	176			
2125	121,5	2125	176			
2126	121,5	2126	177			
2127	121,5	2127	177			
2128	121,5	2128	177			
2129	121,5	2129	176			
2130	121,5	2130	177			
2131	121,5	2131	177			
2132	121,5	2132	176			
2133	121,5	2133	176			
2134	121,5	2134	175			
2135	121,5	2135	175			
2136	121,5	2136	176			
2137	121,5	2137	177			
2138	121,5	2138	178			
2139	121,5	2139	177			
2140	121,5	2140	178			
2141	121,5	2141	177			
2142	121,5	2142	177			
2143	121,5	2143	177			
2144	121,5	2144	176			
2145	121,5	2145	176			
2146	121,5	2146	178			
2147	121,5	2147	178			
2148	121,5	2148	178			
2149	121,5	2149	178			
2150	121,5	2150	178			
2151	121,5	2151	177			
2152	121,5	2152	176			
2153	121,5	2153	176			
2154	121,5	2154	177			
2155	121,5	2155	177			
2156	121,5	2156	178			
2157	121,5	2157	178			
2158	121,5	2158	178			
2159	121,5	2159	177			
2160	121,5	2160	177			
2161	121,5	2161	177			
2162	121,5	2162	177			
2163	121,5	2163	177			
2164	121,5	2164	177			
2165	121,5	2165	177			
2166	121,5	2166	177			
2167	121,5	2167	178			
2168	121,6	2168	177			
2169	121,6	2169	177			
2170	121,6	2170	177			
2171	121,6	2171	177			
2172	121,5	2172	177			
2173	121,6	2173	177			
2174	121,6	2174	176			
2175	121,5	2175	176			
2176	121,5	2176	177			
2177	121,5	2177	177			
2178	121,5	2178	178			
2179	121,5	2179	178			
2180	121,5	2180	178			
2181	121,5	2181	177			
2182	121,5	2182	176			
2183	121,5	2183	177			
2184	121,5	2184	177			
2185	121,5	2185	178			
2186	121,5	2186	178			
2187	121,5	2187	178			
2188	121,5	2188	177			
2189	121,5	2189	177			
2190	121,5	2190	176			
2191	121,5	2191	177			
2192	121,5	2192	177			
2193	121,5	2193	177			
2194	121,5	2194	177			
2195	121,5	2195	177			
2196	121,5	2196	177			
2197	121,5	2197	177			
2198	121,5	2198	177			
2199	121,5	2199	177			
2200	121,5	2200	178			
2201	121,5	2201	178			
2202	121,5	2202	177			
2203	121,5	2203	176			
2204	121,5	2204	177			
2205	121,5	2205	178			
2206	121,5	2206	177			
2207	121,5	2207	177			
2208	121,5	2208	177			
2209	121,5	2209	177			
2210	121,6	2210	177			
2211	121,5	2211	177			
2212	121,6	2212	177			
2213	121,5	2213	177			
2214	121,5	2214	177			
2215	121,5	2215	177			
2216	121,5	2216	178			
2217	121,5	2217	178			
2218	121,5	2218	177			
2219	121,5	2219	178			
2220	121,5	2220	178			
2221	121,5	2221	178			
2222	121,5	2222	177			
2223	121,5	2223	176			
2224	121,5	2224	176			
2225	121,5	2225	176			
2226	121,5	2226	177			
2227	121,5	2227	178			
2228	121,5	2228	177			
2229	121,5	2229	177			
2230	121,5	2230	177			
2231	121,5	2231	177			
2232	121,5	2232	177			
2233	121,5	2233	176			
2234	121,5	2234	176			
2235	121,5	2235	176			
2236	121,5	2236	177			
2237	121,5	2237	177			
2238	121,5	2238	178			
2239	121,5	2239	178			
2240	121,5	2240	177			
2241	121,5	2241	177			
2242	121,5	2242	177			
2243	121,5	2243	177			
2244	121,5	2244	176			
2245	121,5	2245	176			
2246	121,5	2246	177			
2247	121,5	2247	178			
2248	121,5	2248	178			
2249	121,5	2249	178			
2250	121,5	2250	178			
2251	121,5	2251	178			
2252	121,5	2252	178			
2253	121,5	2253	177			
2254	121,5	2254	176			
2255	121,5	2255	177			
2256	121,5	2256	177			
2257	121,5	2257	178			
2258	121,5	2258	178			
2259	121,5	2259	179			
2260	121,5	2260	178			
2261	121,6	2261	177			
2262	121,6	2262	177			
2263	121,6	2263	178			
2264	121,6	2264	177			
2265	121,5	2265	177			
2266	121,5	2266	177			
2267	121,5	2267	178			
2268	121,5	2268	179			
2269	121,5	2269	179			
2270	121,5	2270	178			
2271	121,5	2271	178			
2272	121,5	2272	178			
2273	121,5	2273	177			
2274	121,5	2274	177			
2275	121,5	2275	177			
2276	121,5	2276	178			
2277	121,5	2277	178			
2278	121,5	2278	177			
2279	121,5	2279	178			
2280	121,5	2280	177			
2281	121,5	2281	177			
2282	121,5	2282	177			
2283	121,5	2283	178			
2284	121,5	2284	177			
2285	121,5	2285	176			
2286	121,5	2286	177			
2287	121,5	2287	178			
2288	121,5	2288	178			
2289	121,5	2289	178			
2290	121,5	2290	178			
2291	121,5	2291	178			
2292	121,5	2292	177			
2293	121,5	2293	178			
2294	121,5	2294	178			
2295	121,5	2295	179			
2296	121,5	2296	179			
2297	121,5	2297	179			
2298	121,5	2298	179			
2299	121,5	2299	178			
2300	121,5	2300	177			
2301	121,5	2301	177			
2302	121,5	2302	178			
2303	121,5	2303	177			
2304	121,5	2304	177			
2305	121,5	2305	177			
2306	121,5	2306	178			
2307	121,6	2307	179			
2308	121,5	2308	179			
2309	121,5	2309	180			
2310	121,5	2310	179			
2311	121,5	2311	178			
2312	121,6	2312	178			
2313	121,6	2313	177			
2314	121,5	2314	177			
2315	121,5	2315	176			
2316	121,5	2316	178			
