Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)			
288	57,7	288	62			
289	57,7	289	62			
290	57,9	290	62			
291	58	291	62			
292	58	292	61			
293	58,2	293	60			
294	58,4	294	60			
295	58,5	295	61			
296	58,7	296	61			
297	58,7	297	61			
298	58,9	298	62			
299	59	299	61			
300	59	300	60			
301	59,2	301	60			
302	59,4	302	60			
303	59,5	303	60			
304	59,5	304	60			
305	59,7	305	61			
306	59,9	306	61			
307	60	307	61			
308	60	308	61			
309	60,2	309	61			
310	60,2	310	60			
311	60,4	311	60			
312	60,5	312	61			
313	60,5	313	60			
314	60,7	314	60			
315	60,9	315	60			
316	61	316	60			
317	61	317	60			
318	61,2	318	61			
319	61,2	319	60			
320	61,4	320	60			
321	61,5	321	61			
322	61,5	322	60			
323	61,7	323	60			
324	61,7	324	61			
325	61,9	325	61			
326	62	326	61			
327	62	327	61			
328	62,2	328	61			
329	62,2	329	61			
330	62,4	330	60			
331	62,4	331	61			
332	62,5	332	61			
333	62,7	333	61			
334	62,7	334	61			
335	62,9	335	60			
336	63	336	60			
337	63	337	61			
338	63,2	338	60			
339	63,4	339	60			
340	63,5	340	60			
341	63,5	341	60			
342	63,7	342	61			
343	63,7	343	60			
344	63,9	344	60			
345	64	345	61			
346	64,1	346	60			
347	64,3	347	60			
348	64,4	348	60			
349	64,5	349	60			
350	64,5	350	60			
351	64,6	351	61			
352	64,8	352	61			
353	64,9	353	61			
354	65	354	61			
355	65	355	61			
356	65,1	356	60			
357	65,3	357	60			
358	65,4	358	60			
359	65,5	359	60			
360	65,5	360	60			
361	65,6	361	60			
362	65,8	362	60			
363	65,9	363	60			
364	66	364	60			
365	66	365	60			
366	66	366	60			
367	66,1	367	61			
368	66,3	368	61			
369	66,4	369	60			
370	66,5	370	60			
371	66,5	371	61			
372	66,6	372	62			
373	66,6	373	60			
374	66,8	374	59			
375	66,9	375	60			
376	67	376	61			
377	67	377	61			
378	67,1	378	60			
379	67,1	379	59			
380	67,3	380	60			
381	67,4	381	60			
382	67,5	382	60			
383	67,5	383	60			
384	67,6	384	60			
385	67,8	385	61			
386	67,9	386	60			
387	68	387	60			
388	68	388	59			
389	68,1	389	60			
390	68,3	390	60			
391	68,3	391	60			
392	68,4	392	60			
393	68,5	393	61			
394	68,5	394	61			
395	68,6	395	60			
396	68,6	396	60			
397	68,8	397	60			
398	68,9	398	60			
399	69	399	61			
400	69	400	61			
401	69	401	61			
402	69,1	402	60			
403	69,3	403	60			
404	69,4	404	60			
405	69,4	405	61			
406	69,5	406	60			
407	69,5	407	61			
408	69,6	408	61			
409	69,8	409	61			
410	69,9	410	60			
411	70	411	60			
412	70	412	60			
413	70	413	61			
414	70,1	414	61			
415	70,3	415	61			
416	70,4	416	61			
417	70,5	417	61			
418	70,5	418	61			
419	70,5	419	60			
420	70,6	420	60			
421	70,8	421	61			
422	70,9	422	61			
423	70,9	423	61			
424	71	424	61			
425	71	425	61			
426	71	426	60			
427	71,1	427	60			
428	71,3	428	60			
429	71,3	429	60			
430	71,4	430	60			
431	71,5	431	60			
432	71,5	432	60			
433	71,5	433	60			
434	71,6	434	61			
435	71,6	435	61			
436	71,8	436	61			
437	71,8	437	61			
438	71,9	438	60			
439	71,9	439	61			
440	72	440	60			
441	72	441	60			
442	72	442	60			
443	72,1	443	60			
444	72,1	444	60			
445	72,3	445	60			
446	72,3	446	60			
447	72,4	447	60			
448	72,5	448	60			
449	72,5	449	60			
450	72,5	450	59			
451	72,6	451	59			
452	72,6	452	61			
453	72,8	453	62			
454	72,9	454	61			
455	73	455	60			
456	73	456	60			
457	73	457	60			
458	73,1	458	59			
459	73,1	459	59			
460	73,3	460	60			
461	73,3	461	60			
462	73,4	462	60			
463	73,5	463	60			
464	73,5	464	60			
465	73,5	465	60			
466	73,5	466	60			
467	73,6	467	60			
468	73,6	468	60			
469	73,8	469	60			
470	73,8	470	60			
471	73,9	471	61			
472	73,9	472	61			
473	74	473	61			
474	74	474	60			
475	74	475	60			
476	74	476	60			
477	74,1	477	60			
478	74,1	478	60			
479	74,3	479	60			
480	74,4	480	60			
481	74,4	481	61			
482	74,5	482	61			
483	74,5	483	61			
484	74,5	484	60			
485	74,6	485	60			
486	74,8	486	60			
487	74,8	487	60			
488	74,9	488	61			
489	75	489	62			
490	75	490	62			
491	75	491	61			
492	75,1	492	61			
493	75,3	493	61			
494	75,4	494	60			
495	75,4	495	61			
496	75,5	496	61			
497	75,5	497	60			
498	75,5	498	60			
499	75,6	499	61			
500	75,8	500	61			
501	75,8	501	60			
502	75,9	502	61			
503	76	503	61			
504	76	504	61			
505	76	505	61			
506	76	506	61			
507	76,1	507	61			
508	76,1	508	61			
509	76,1	509	61			
510	76,3	510	61			
511	76,4	511	61			
512	76,4	512	60			
513	76,4	513	60			
514	76,5	514	62			
515	76,5	515	62			
516	76,5	516	62			
517	76,6	517	62			
518	76,6	518	61			
519	76,8	519	60			
520	76,8	520	61			
521	76,9	521	61			
522	76,9	522	61			
523	77	523	60			
524	77	524	61			
525	77	525	60			
526	77,1	526	60			
527	77,1	527	61			
528	77,1	528	61			
529	77,3	529	61			
530	77,4	530	61			
531	77,4	531	61			
532	77,5	532	60			
533	77,5	533	60			
534	77,5	534	61			
535	77,5	535	60			
536	77,5	536	61			
537	77,6	537	60			
538	77,6	538	60			
539	77,8	539	61			
540	77,9	540	62			
541	77,9	541	61			
542	78	542	61			
543	78	543	61			
544	78	544	61			
545	78	545	61			
546	78,1	546	62			
547	78,1	547	62			
548	78,3	548	62			
549	78,3	549	61			
550	78,4	550	62			
551	78,4	551	61			
552	78,5	552	60			
