Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
294	90,4	294	75						
295	90,5	295	75						
296	90,5	296	74						
297	90,5	297	73						
298	90,5	298	74						
299	90,6	299	75						
300	90,8	300	75						
301	90,9	301	75						
302	90,9	302	74						
303	91	303	72						
304	91	304	73						
305	91,1	305	75						
306	91,1	306	75						
307	91,3	307	76						
308	91,4	308	76						
309	91,5	309	74						
310	91,5	310	74						
311	91,6	311	75						
312	91,6	312	76						
313	91,8	313	77						
314	91,9	314	77						
315	92	315	76						
316	92	316	75						
317	92	317	74						
318	92,1	318	75						
319	92,3	319	76						
320	92,3	320	77						
321	92,4	321	79						
322	92,5	322	79						
323	92,5	323	78						
324	92,5	324	77						
325	92,6	325	75						
326	92,8	326	75						
327	92,8	327	75						
328	92,9	328	77						
329	93	329	79						
330	93	330	79						
331	93,1	331	79						
332	93,1	332	79						
333	93,3	333	78						
334	93,4	334	79						
335	93,4	335	80						
336	93,5	336	78						
337	93,5	337	76						
338	93,6	338	76						
339	93,6	339	77						
340	93,8	340	78						
341	93,9	341	80						
342	93,9	342	81						
343	94	343	81						
344	94	344	80						
345	94	345	81						
346	94,1	346	82						
347	94,3	347	81						
348	94,3	348	80						
349	94,3	349	79						
350	94,4	350	78						
351	94,4	351	79						
352	94,5	352	80						
353	94,5	353	82						
354	94,5	354	82						
355	94,6	355	81						
356	94,8	356	80						
357	94,8	357	81						
358	94,9	358	81						
359	94,9	359	81						
360	95	360	82						
361	95	361	83						
362	95	362	82						
363	95	363	80						
364	95	364	79						
365	95	365	80						
366	95,1	366	82						
367	95,1	367	83						
368	95,1	368	84						
369	95,3	369	82						
370	95,3	370	81						
371	95,3	371	79						
372	95,3	372	81						
373	95,4	373	83						
374	95,4	374	84						
375	95,4	375	84						
376	95,4	376	83						
377	95,5	377	82						
378	95,5	378	81						
379	95,5	379	83						
380	95,5	380	85						
381	95,5	381	84						
382	95,6	382	82						
383	95,6	383	82						
384	95,8	384	82						
385	95,8	385	84						
386	95,9	386	85						
387	95,9	387	85						
388	96	388	83						
389	96	389	82						
390	96	390	83						
391	96	391	85						
392	96,1	392	87						
393	96,1	393	87						
394	96,3	394	85						
395	96,4	395	83						
396	96,4	396	83						
397	96,4	397	83						
398	96,5	398	84						
399	96,5	399	85						
400	96,5	400	86						
401	96,6	401	87						
402	96,6	402	86						
403	96,6	403	85						
404	96,8	404	85						
405	96,8	405	85						
406	96,8	406	84						
407	96,9	407	84						
408	96,9	408	84						
409	96,9	409	86						
410	96,9	410	88						
411	96,9	411	88						
412	96,9	412	88						
413	96,9	413	87						
414	97	414	86						
415	97	415	85						
416	97	416	85						
417	97	417	85						
418	97	418	86						
419	97	419	87						
420	97	420	88						
421	97	421	89						
422	97,1	422	89						
423	97,1	423	88						
424	97,1	424	88						
425	97,3	425	89						
426	97,4	426	88						
427	97,4	427	88						
428	97,5	428	91						
429	97,6	429	92						
430	97,8	430	93						
431	98	431	93						
432	98,3	432	92						
433	98,5	433	91						
434	98,6	434	91						
435	99	435	91						
436	99,1	436	91						
437	99,5	437	92						
438	99,6	438	94						
439	99,9	439	95						
440	100	440	96						
441	100,1	441	96						
442	100,4	442	95						
443	100,5	443	95						
444	100,8	444	95						
445	101	445	94						
446	101,1	446	94						
447	101,3	447	95						
448	101,4	448	96						
449	101,5	449	98						
450	101,5	450	98						
451	101,5	451	99						
452	101,6	452	99						
453	101,8	453	97						
454	101,9	454	97						
455	102	455	97						
456	102,1	456	97						
457	102,4	457	99						
458	102,5	458	100						
459	102,8	459	101						
460	103	460	102						
461	103,1	461	101						
462	103,3	462	100						
463	103,5	463	100						
464	103,5	464	100						
465	103,8	465	101						
466	103,9	466	102						
467	104	467	104						
468	104,1	468	104						
469	104,4	469	104						
470	104,5	470	103						
471	104,5	471	102						
472	104,8	472	102						
473	104,8	473	103						
474	104,9	474	104						
475	105	475	105						
476	105	476	107						
477	105	477	107						
478	105,1	478	105						
479	105,1	479	103						
480	105,1	480	102						
481	105,3	481	102						
482	105,3	482	103						
483	105,3	483	105						
484	105,3	484	107						
485	105,3	485	106						
486	105,1	486	104						
487	105,1	487	103						
488	105,1	488	104						
489	105,1	489	104						
490	105,1	490	105						
491	105,3	491	107						
492	105,3	492	108						
493	105,4	493	108						
494	105,5	494	108						
495	105,5	495	108						
496	105,5	496	107						
497	105,6	497	107						
498	105,8	498	107						
499	105,9	499	109						
500	106	500	111						
501	106	501	112						
502	106,3	502	113						
503	106,4	503	114						
504	106,5	504	113						
505	106,6	505	112						
506	106,8	506	112						
507	106,9	507	111						
508	107	508	111						
509	107	509	111						
510	107,1	510	111						
511	107,1	511	112						
512	107,3	512	113						
513	107,4	513	114						
514	107,5	514	113						
515	107,5	515	113						
516	107,6	516	114						
517	107,8	517	115						
518	107,9	518	116						
519	107,9	519	117						
520	108	520	118						
521	108	521	118						
522	108,1	522	119						
523	108,3	523	120						
524	108,4	524	119						
525	108,5	525	118						
526	108,5	526	118						
527	108,6	527	120						
528	108,8	528	122						
529	108,9	529	123						
530	109	530	123						
531	109	531	122						
532	109,1	532	122						
533	109,3	533	121						
534	109,4	534	121						
535	109,5	535	121						
536	109,5	536	121						
537	109,6	537	122						
538	109,8	538	123						
539	109,9	539	125						
540	110	540	126						
541	110	541	126						
542	110,1	542	125						
543	110,1	543	124						
544	110,1	544	124						
545	110,1	545	122						
546	110,3	546	122						
547	110,3	547	121						
548	110,3	548	122						
549	110,3	549	122						
550	110,3	550	123						
551	110,3	551	125						
552	110,3	552	125						
553	110,3	553	125						
554	110,4	554	127						
555	110,4	555	128						
556	110,4	556	127						
557	110,4	557	127						
558	110,4	558	127						
559	110,5	559	127						
560	110,5	560	127						
561	110,5	561	127						
562	110,6	562	126						
563	110,8	563	126						
564	110,9	564	127						
565	111	565	127						
566	111	566	127						
567	111,1	567	128						
568	111,3	568	130						
569	111,4	569	131						
570	111,5	570	132						
571	111,5	571	133						
572	111,6	572	133						
573	111,8	573	132						
574	111,9	574	131						
575	112	575	131						
576	112	576	132						
577	112	577	134						
578	112,1	578	136						
579	112,3	579	136						
580	112,4	580	135						
581	112,5	581	134						
582	112,5	582	133						
583	112,6	583	134						
584	112,6	584	134						
585	112,8	585	136						
586	112,9	586	138						
587	112,9	587	138						
588	113	588	139						
589	113	589	140						
590	113	590	140						
591	113,1	591	139						
592	113,3	592	139						
593	113,4	593	139						
594	113,5	594	140						
595	113,5	595	140						
596	113,5	596	140						
597	113,6	597	139						
598	113,8	598	140						
599	113,9	599	140						
600	114	600	139						
601	114	601	140						
602	114	602	142						
603	114,1	603	143						
604	114,3	604	144						
605	114,4	605	145						
606	114,5	606	145						
607	114,5	607	144						
608	114,5	608	143						
609	114,5	609	142						
610	114,6	610	141						
611	114,6	611	140						
612	114,6	612	139						
613	114,6	613	139						
614	114,6	614	138						
615	114,6	615	138						
616	114,6	616	138						
617	114,6	617	136						
618	114,5	618	137						
619	114,5	619	139						
620	114,5	620	141						
621	114,5	621	143						
622	114,5	622	144						
623	114,5	623	144						
624	114,5	624	145						
625	114,5	625	145						
626	114,5	626	145						
627	114,5	627	144						
628	114,6	628	144						
629	114,6	629	143						
630	114,6	630	142						
631	114,8	631	142						
632	114,8	632	142						
633	114,9	633	143						
634	115	634	143						
635	115	635	143						
636	115	636	144						
637	115,1	637	146						
638	115,3	638	146						
639	115,3	639	147						
640	115,4	640	148						
641	115,4	641	147						
642	115,5	642	148						
643	115,5	643	148						
644	115,5	644	147						
645	115,6	645	147						
646	115,6	646	146						
647	115,6	647	147						
648	115,8	648	147						
649	115,9	649	148						
650	115,9	650	150						
651	116	651	151						
652	116	652	152						
653	116	653	153						
654	116	654	151						
655	116,1	655	150						
656	116,1	656	149						
657	116,3	657	148						
658	116,3	658	147						
659	116,3	659	148						
660	116,4	660	148						
661	116,4	661	149						
662	116,4	662	150						
663	116,5	663	152						
664	116,5	664	152						
665	116,5	665	153						
666	116,5	666	153						
667	116,5	667	153						
668	116,6	668	153						
669	116,6	669	152						
670	116,6	670	151						
671	116,8	671	151						
672	116,8	672	151						
673	116,8	673	153						
674	116,8	674	154						
675	116,9	675	154						
676	116,9	676	151						
677	116,9	677	147						
678	116,8	678	146						
679	116,8	679	148						
680	116,6	680	150						
681	116,6	681	150						
682	116,6	682	150						
683	116,5	683	148						
684	116,5	684	147						
685	116,5	685	148						
686	116,5	686	149						
687	116,5	687	149						
688	116,4	688	150						
689	116,4	689	150						
690	116,4	690	150						
691	116,4	691	150						
692	116,3	692	149						
693	116,4	693	149						
694	116,4	694	150						
695	116,4	695	150						
696	116,5	696	150						
697	116,5	697	152						
698	116,5	698	154						
699	116,5	699	153						
700	116,5	700	153						
701	116,6	701	151						
702	116,6	702	152						
703	116,8	703	153						
704	116,8	704	155						
705	116,9	705	156						
706	116,9	706	154						
707	117	707	154						
708	117	708	155						
709	117	709	155						
710	117	710	155						
711	117	711	154						
712	117,1	712	154						
713	117,1	713	155						
714	117,1	714	157						
715	117,3	715	158						
716	117,3	716	159						
717	117,4	717	157						
718	117,4	718	155						
719	117,5	719	155						
720	117,5	720	156						
721	117,5	721	156						
722	117,5	722	157						
723	117,5	723	159						
724	117,6	724	160						
725	117,6	725	161						
726	117,8	726	161						
727	117,8	727	160						
728	117,9	728	158						
729	117,9	729	158						
730	117,9	730	158						
731	118	731	158						
732	118	732	158						
733	118	733	159						
734	118	734	160						
735	118	735	160						
736	118	736	161						
737	118,1	737	161						
738	118,1	738	161						
739	118,1	739	161						
740	118,1	740	160						
741	118,1	741	160						
742	118,1	742	159						
743	118,1	743	158						
744	118,1	744	156						
745	118,1	745	155						
746	118,1	746	154						
747	118,1	747	153						
748	118	748	154						
749	118	749	155						
750	118	750	157						
751	118	751	158						
752	118	752	158						
753	118	753	158						
754	117,9	754	159						
755	117,9	755	158						
756	117,9	756	157						
757	117,9	757	156						
758	117,9	758	156						
759	117,9	759	156						
760	117,9	760	157						
761	117,9	761	159						
762	117,9	762	161						
763	117,9	763	161						
764	117,9	764	162						
765	118	765	162						
766	118	766	161						
767	118	767	159						
768	118,1	768	159						
769	118,1	769	160						
770	118,3	770	161						
771	118,3	771	163						
772	118,4	772	164						
773	118,4	773	165						
774	118,5	774	166						
775	118,5	775	165						
776	118,5	776	164						
777	118,6	777	163						
778	118,6	778	161						
779	118,6	779	162						
780	118,8	780	164						
781	118,8	781	165						
782	118,9	782	166						
783	118,9	783	167						
784	119	784	166						
785	119	785	164						
786	119	786	163						
787	119	787	163						
788	119	788	163						
789	119	789	163						
790	119,1	790	165						
791	119,1	791	167						
792	119,1	792	169						
793	119,3	793	169						
794	119,3	794	169						
795	119,3	795	169						
796	119,4	796	167						
797	119,4	797	165						
798	119,4	798	164						
799	119,5	799	165						
800	119,5	800	166						
801	119,5	801	167						
802	119,5	802	168						
803	119,5	803	170						
804	119,5	804	171						
805	119,6	805	170						
806	119,6	806	169						
807	119,6	807	167						
808	119,6	808	165						
809	119,6	809	164						
810	119,6	810	164						
811	119,5	811	163						
812	119,5	812	162						
813	119,5	813	162						
814	119,5	814	161						
815	119,5	815	160						
816	119,5	816	162						
817	119,4	817	164						
818	119,4	818	163						
819	119,3	819	163						
820	119,3	820	162						
821	119,1	821	162						
822	119,1	822	163						
823	119	823	165						
824	119	824	168						
825	119	825	168						
826	119,1	826	167						
827	119	827	164						
828	119	828	163						
829	119	829	163						
830	119,1	830	165						
831	119,1	831	166						
832	119,1	832	168						
833	119,1	833	169						
834	119,3	834	170						
835	119,3	835	170						
836	119,4	836	168						
837	119,5	837	167						
838	119,5	838	167						
839	119,5	839	169						
840	119,5	840	171						
841	119,6	841	171						
