WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="15D", group="280", value="     1"
WARNING (011416): XRECORD object group 140 unknown/not supported - ignored.
WARNING (011424): XRECORD object group 140 unknown/not supported - ignored.
WARNING (011432): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011440): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011444): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011452): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011460): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011468): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011472): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011480): XRECORD object group 280 unknown/not supported - ignored.
WARNING (011488): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011496): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011504): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011512): XRECORD object group 280 unknown/not supported - ignored.
WARNING (011520): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011528): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011532): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011540): XRECORD object group 140 unknown/not supported - ignored.
WARNING (011548): XRECORD object group 90 unknown/not supported - ignored.
WARNING (011556): XRECORD object group 1 unknown/not supported - ignored.
WARNING (011564): XRECORD object group 280 unknown/not supported - ignored.
WARNING (011572): XRECORD object group 140 unknown/not supported - ignored.
WARNING (011580): XRECORD object group 140 unknown/not supported - ignored.
WARNING (012376): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012384): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012392): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012400): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012408): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012416): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012424): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012432): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012440): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012448): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012456): XRECORD object group 140 unknown/not supported - ignored.
WARNING (012464): XRECORD object group 140 unknown/not supported - ignored.
WARNING (012472): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012480): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012484): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012492): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012500): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012508): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012512): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012520): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012528): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012536): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012544): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012552): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012560): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012568): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012572): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012580): XRECORD object group 140 unknown/not supported - ignored.
WARNING (012588): XRECORD object group 90 unknown/not supported - ignored.
WARNING (012596): XRECORD object group 1 unknown/not supported - ignored.
WARNING (012604): XRECORD object group 280 unknown/not supported - ignored.
WARNING (012612): XRECORD object group 140 unknown/not supported - ignored.
WARNING (012620): XRECORD object group 140 unknown/not supported - ignored.
WARNING (013416): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013424): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013432): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013440): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013448): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013456): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013464): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013472): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013480): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013488): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013496): XRECORD object group 140 unknown/not supported - ignored.
WARNING (013504): XRECORD object group 140 unknown/not supported - ignored.
WARNING (013512): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013520): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013524): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013532): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013540): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013548): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013552): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013560): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013568): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013576): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013584): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013592): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013600): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013608): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013612): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013620): XRECORD object group 140 unknown/not supported - ignored.
WARNING (013628): XRECORD object group 90 unknown/not supported - ignored.
WARNING (013636): XRECORD object group 1 unknown/not supported - ignored.
WARNING (013644): XRECORD object group 280 unknown/not supported - ignored.
WARNING (013652): XRECORD object group 140 unknown/not supported - ignored.
WARNING (013660): XRECORD object group 140 unknown/not supported - ignored.
WARNING (014456): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014464): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014472): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014480): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014488): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014496): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014504): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014512): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014520): XRECORD object group 280 unknown/not supported - ignored.
WARNING (014528): XRECORD object group 90 unknown/not supported - ignored.
